Date,Open,High,Low,Close,Volume,Adj Close
10/1/2012,22.73,23,22.709999,22.809999,42550700,19.971528
10/2/2012,22.93,22.99,22.709999,22.790001,45297400,19.954018
10/3/2012,22.860001,22.98,22.719999,22.91,32929400,20.059085
10/4/2012,22.950001,23.049999,22.77,22.950001,40344600,20.094108
10/5/2012,23.040001,23.18,23,23.120001,38312500,20.242953
10/8/2012,22.870001,22.99,22.85,22.92,24202200,20.06784
10/9/2012,22.940001,22.969999,22.6,22.620001,39176000,19.805173
10/10/2012,22.610001,22.74,22.41,22.43,32784100,19.638816
10/11/2012,22.59,22.709999,22.48,22.51,24161800,19.708861
10/12/2012,22.58,22.709999,22.41,22.48,32954600,19.682593
10/15/2012,22.540001,22.700001,22.49,22.639999,29578600,19.822683
10/16/2012,22.790001,22.879999,22.57,22.639999,35668800,19.822683
10/17/2012,22.77,22.92,22.719999,22.91,28272500,20.059085
10/18/2012,22.809999,23.08,22.799999,22.809999,43140700,19.971528
10/19/2012,22.51,22.530001,21.870001,22.030001,107879900,19.288592
10/22/2012,21.860001,21.950001,21.25,21.700001,86735100,18.999658
10/23/2012,21.35,21.4,21.200001,21.280001,56297300,18.631922
10/24/2012,21.43,21.459999,21.24,21.26,42295500,18.614411
10/25/2012,21.5,21.57,21.030001,21.26,45769600,18.614411
10/26/2012,21.190001,21.4,21.07,21.110001,42827400,18.483077
10/31/2012,21.26,21.32,20.969999,21.059999,39179300,18.439298
11/1/2012,21.030001,21.389999,21.02,21.34,46231300,18.684455
11/2/2012,21.530001,21.68,21.26,21.309999,47475200,18.658188
11/5/2012,21.200001,21.469999,21.200001,21.41,30000100,18.745744
11/6/2012,21.51,21.780001,21.450001,21.59,32733200,18.903345
11/7/2012,21.360001,21.52,21.07,21.129999,45253400,18.500587
11/8/2012,21.16,21.190001,20.879999,20.889999,40770700,18.290453
11/9/2012,20.76,21.299999,20.700001,21,40306800,18.386765
11/12/2012,21.040001,21.139999,20.879999,20.889999,21816400,18.290453
11/13/2012,20.6,20.950001,20.57,20.68,41073300,18.106586
11/14/2012,20.73,20.75,19.950001,20.01,65539500,17.51996
11/15/2012,19.9,20.23,19.9,20.059999,51760300,17.563738
11/16/2012,20.1,20.190001,19.870001,20.15,45287500,17.642538
11/19/2012,20.41,20.719999,20.389999,20.66,38283400,18.089074
11/20/2012,20.67,20.690001,20.370001,20.620001,26845900,18.054053
11/21/2012,20.700001,20.74,20.57,20.68,41020400,18.106586
11/23/2012,20.809999,21.040001,20.73,21.040001,35456500,18.421788
11/26/2012,20.879999,21.07,20.870001,21.059999,47741300,18.439298
11/27/2012,21.040001,21.200001,20.85,20.870001,33001700,18.272943
11/28/2012,20.75,21.15,20.5,21.139999,34782700,18.509343
11/29/2012,21.24,21.360001,20.950001,21.129999,27632800,18.500587
11/30/2012,21.139999,21.26,21.040001,21.129999,37857000,18.500587
12/3/2012,21.18,21.23,20.799999,20.82,29981900,18.229164
12/4/2012,20.870001,21.01,20.709999,20.860001,36817200,18.264187
12/5/2012,20.91,21.360001,20.860001,21.23,46466500,18.588143
12/6/2012,21.200001,21.389999,21.08,21.370001,32751200,18.710723
12/7/2012,21.440001,21.48,21.24,21.459999,33548600,18.789522
12/10/2012,21.43,21.5,21.360001,21.389999,27604300,18.728233
12/11/2012,21.48,21.75,21.360001,21.51,45757200,18.833301
12/12/2012,21.610001,21.950001,21.57,21.780001,42413600,19.069702
12/13/2012,21.74,21.92,21.549999,21.620001,33966000,18.929613
12/14/2012,21.610001,21.76,21.549999,21.620001,47536600,18.929613
12/17/2012,21.690001,21.950001,21.690001,21.93,48483700,19.201036
12/18/2012,21.85,21.91,21.41,21.690001,81119200,18.990902
12/19/2012,21.639999,21.66,20.969999,21.01,92330700,18.395521
12/20/2012,20.91,21.24,20.870001,21.049999,50831400,18.598737
12/21/2012,20.84,20.99,20.559999,20.879999,80833800,18.448533
12/24/2012,20.790001,20.959999,20.75,20.82,15097200,18.39552
12/26/2012,20.809999,20.940001,20.709999,20.77,28557100,18.351344
12/27/2012,20.799999,20.870001,20.42,20.690001,38330700,18.28066
12/28/2012,20.450001,20.709999,20.43,20.440001,32403400,18.059772
12/31/2012,20.290001,21,20.26,20.99,58785000,18.545724
1/2/2013,21.51,21.540001,21.200001,21.34,46089500,18.854967
1/3/2013,21.48,21.49,21.049999,21.1,48509100,18.642915
1/4/2013,21.209999,21.26,21.120001,21.200001,29802600,18.731271
1/7/2013,21.16,21.219999,20.959999,21.129999,32746700,18.669421
1/8/2013,21.1,21.120001,20.68,20.9,40045500,18.466204
1/9/2013,21.040001,21.07,20.93,20.950001,28540500,18.510383
1/10/2013,21.040001,21.23,20.959999,21.17,33348200,18.704763
1/11/2013,21.219999,21.24,21.02,21.129999,41839700,18.669421
1/14/2013,21.18,21.24,21.07,21.120001,31715900,18.660587
1/15/2013,21.040001,21.209999,21.01,21.200001,26551000,18.731271
1/16/2013,21.15,21.200001,21.059999,21.120001,38932100,18.660587
1/17/2013,21.219999,21.540001,21.120001,21.299999,63851700,18.819624
1/18/2013,21.940001,22.190001,21.59,22.040001,113079400,19.473453
1/22/2013,22.18,22.200001,21.9,22.01,55165800,19.446946
1/23/2013,21.98,22.030001,21.75,21.940001,47228500,19.385098
1/24/2013,21.959999,22.190001,21.950001,22.049999,46991100,19.482287
1/25/2013,22.280001,22.309999,22.110001,22.290001,41919800,19.694341
1/28/2013,22.440001,22.540001,22.26,22.5,49558400,19.879885
1/29/2013,22.49,22.58,22.4,22.5,34148000,19.879885
1/30/2013,22.52,22.549999,22.23,22.23,36200400,19.641326
1/31/2013,22.209999,22.4,22.18,22.280001,34427700,19.685505
2/1/2013,22.43,22.639999,22.32,22.620001,43840300,19.985912
2/4/2013,22.41,22.49,22.280001,22.309999,35836600,19.71201
2/5/2013,22.48,22.620001,22.450001,22.540001,30917700,19.915228
2/6/2013,22.469999,22.5,22.309999,22.440001,42985800,19.826873
2/7/2013,22.5,22.51,22.27,22.48,38325900,19.862214
2/8/2013,22.5,22.559999,22.450001,22.5,24424600,19.879885
2/11/2013,22.49,22.51,22.35,22.450001,19738700,19.835709
2/12/2013,22.48,22.65,22.48,22.58,34297500,19.950569
2/13/2013,23.110001,23.48,23.040001,23.389999,84926900,20.666245
2/14/2013,23.25,23.49,23.110001,23.41,53996500,20.683916
2/15/2013,23.48,23.549999,23.23,23.290001,39283000,20.577891
2/19/2013,23.42,23.75,23.41,23.75,41219000,20.984324
2/20/2013,23.709999,23.75,23.35,23.41,38107400,20.683916
2/21/2013,23.18,23.35,23.120001,23.26,47811200,20.719548
2/22/2013,23.35,23.450001,23.23,23.389999,27836300,20.835349
2/25/2013,23.5,23.530001,22.809999,22.809999,51619800,20.318696
